Equipo,Temporada,PJ,PG,PE,PP,GF,GC,DG,Pts,Campeon
Deportes Magallanes,2023,30,8,5,17,36,49,-13,29,0
Curico Unido,2023,30,6,5,19,30,58,-28,23,0
Colo-Colo,2024,30,21,4,5,49,21,28,67,1
U de Chile,2024,30,19,8,3,53,24,29,65,0
Iquique,2024,30,14,6,10,53,48,5,48,0
Palestino,2024,30,13,7,10,46,33,13,46,0
Univ Católica,2024,30,13,7,10,44,34,10,46,0
Unión Española,2024,30,13,6,11,53,45,8,45,0
Everton,2024,30,12,9,9,47,41,6,45,0
Coquimbo Unido,2024,30,12,9,9,37,34,3,45,0
Ñublense,2024,30,11,7,12,40,34,6,40,0
Audax Italiano,2024,30,10,4,16,36,39,-3,34,0
La Calera,2024,30,9,7,14,29,40,-11,34,0
Huachipato,2024,30,9,7,14,28,44,-16,34,0
Cobresal,2024,30,8,9,13,42,51,-9,33,0
O'Higgins,2024,30,8,7,15,34,53,-19,31,0
Cobreloa,2024,30,9,4,17,33,62,-29,31,0
Deportes Copiapó,2024,30,7,3,20,40,61,-21,24,0
